control	0
yaw_angle	1
cmd_type	0
pose_x	pose_y	pose_z	heading
2.200000	0.200000	0.000000	3.141593
2.200000	0.200000	1.000000	3.141593
2.137178	0.200987	1.010000	3.110177
2.074419	0.203947	1.020000	3.078761
2.011783	0.208876	1.030000	3.047345
1.949334	0.215771	1.040000	3.015929
1.887131	0.224623	1.050000	2.984513
1.825237	0.235425	1.060000	2.953097
1.763714	0.248166	1.070000	2.921681
1.702620	0.262834	1.080000	2.890265
1.642018	0.279413	1.090000	2.858849
1.581966	0.297887	1.100000	2.827433
1.522524	0.318238	1.110000	2.796017
1.463751	0.340447	1.120000	2.764602
1.405704	0.364491	1.130000	2.733186
1.348441	0.390346	1.140000	2.701770
1.292019	0.417987	1.150000	2.670354
1.236493	0.447387	1.160000	2.638938
1.181917	0.478516	1.170000	2.607522
1.128346	0.511344	1.180000	2.576106
1.075833	0.545839	1.190000	2.544690
1.024429	0.581966	1.200000	2.513274
0.974186	0.619690	1.210000	2.481858
0.925152	0.658974	1.220000	2.450442
0.877376	0.699778	1.230000	2.419026
0.830906	0.742063	1.240000	2.387610
0.785786	0.785786	1.250000	2.356194
0.742063	0.830906	1.260000	2.324779
0.699778	0.877376	1.270000	2.293363
0.658974	0.925152	1.280000	2.261947
0.619690	0.974186	1.290000	2.230531
0.581966	1.024429	1.300000	2.199115
0.545839	1.075833	1.310000	2.167699
0.511344	1.128346	1.320000	2.136283
0.478516	1.181917	1.330000	2.104867
0.447387	1.236493	1.340000	2.073451
0.417987	1.292019	1.350000	2.042035
0.390346	1.348441	1.360000	2.010619
0.364491	1.405704	1.370000	1.979203
0.340447	1.463751	1.380000	1.947787
0.318238	1.522524	1.390000	1.916372
0.297887	1.581966	1.400000	1.884956
0.279413	1.642018	1.410000	1.853540
0.262834	1.702620	1.420000	1.822124
0.248166	1.763714	1.430000	1.790708
0.235425	1.825237	1.440000	1.759292
0.224623	1.887131	1.450000	1.727876
0.215771	1.949334	1.460000	1.696460
0.208876	2.011783	1.470000	1.665044
0.203947	2.074419	1.480000	1.633628
0.200987	2.137178	1.490000	1.602212
0.200000	2.200000	1.500000	1.570796
0.200987	2.262822	1.510000	1.539380
0.203947	2.325581	1.520000	1.507964
0.208876	2.388217	1.530000	1.476549
0.215771	2.450666	1.540000	1.445133
0.224623	2.512869	1.550000	1.413717
0.235425	2.574763	1.560000	1.382301
0.248166	2.636286	1.570000	1.350885
0.262834	2.697380	1.580000	1.319469
0.279413	2.757982	1.590000	1.288053
0.297887	2.818034	1.600000	1.256637
0.318238	2.877476	1.610000	1.225221
0.340447	2.936249	1.620000	1.193805
0.364491	2.994296	1.630000	1.162389
0.390346	3.051559	1.640000	1.130973
0.417987	3.107981	1.650000	1.099557
0.447387	3.163507	1.660000	1.068142
0.478516	3.218083	1.670000	1.036726
0.511344	3.271654	1.680000	1.005310
0.545839	3.324167	1.690000	0.973894
0.581966	3.375571	1.700000	0.942478
0.619690	3.425814	1.710000	0.911062
0.658974	3.474848	1.720000	0.879646
0.699778	3.522624	1.730000	0.848230
0.742063	3.569094	1.740000	0.816814
0.785786	3.614214	1.750000	0.785398
0.830906	3.657937	1.760000	0.753982
0.877376	3.700222	1.770000	0.722566
0.925152	3.741026	1.780000	0.691150
0.974186	3.780310	1.790000	0.659734
1.024429	3.818034	1.800000	0.628319
1.075833	3.854161	1.810000	0.596903
1.128346	3.888656	1.820000	0.565487
