control	0
yaw_angle	1
pose_x	pose_y	pose_z	heading
3.000000	3.800000	0.000000	0.000000
3.000000	3.800000	1.000000	0.000000
3.056539	3.799112	1.005000	-0.031416
3.113023	3.796448	1.010000	-0.062832
3.169395	3.792012	1.015000	-0.094248
3.225600	3.785806	1.020000	-0.125664
3.281582	3.777839	1.025000	-0.157080
3.337286	3.768117	1.030000	-0.188496
3.392658	3.756650	1.035000	-0.219911
3.447642	3.743450	1.040000	-0.251327
3.502184	3.728529	1.045000	-0.282743
3.556231	3.711902	1.050000	-0.314159
3.609728	3.693585	1.055000	-0.345575
3.662624	3.673598	1.060000	-0.376991
3.714866	3.651958	1.065000	-0.408407
3.766403	3.628689	1.070000	-0.439823
3.817183	3.603812	1.075000	-0.471239
3.867157	3.577352	1.080000	-0.502655
3.916275	3.549336	1.085000	-0.534071
3.964488	3.519790	1.090000	-0.565487
4.011750	3.488745	1.095000	-0.596903
4.058013	3.456231	1.100000	-0.628319
4.103233	3.422279	1.105000	-0.659734
4.147363	3.386924	1.110000	-0.691150
4.190361	3.350200	1.115000	-0.722566
4.232185	3.312144	1.120000	-0.753982
4.272792	3.272792	1.125000	-0.785398
4.312144	3.232185	1.130000	-0.816814
4.350200	3.190361	1.135000	-0.848230
4.386924	3.147363	1.140000	-0.879646
4.422279	3.103233	1.145000	-0.911062
4.456231	3.058013	1.150000	-0.942478
4.488745	3.011750	1.155000	-0.973894
4.519790	2.964488	1.160000	-1.005310
4.549336	2.916275	1.165000	-1.036726
4.577352	2.867157	1.170000	-1.068142
4.603812	2.817183	1.175000	-1.099557
4.628689	2.766403	1.180000	-1.130973
4.651958	2.714866	1.185000	-1.162389
4.673598	2.662624	1.190000	-1.193805
4.693585	2.609728	1.195000	-1.225221
4.711902	2.556231	1.200000	-1.256637
4.728529	2.502184	1.205000	-1.288053
4.743450	2.447642	1.210000	-1.319469
4.756650	2.392658	1.215000	-1.350885
4.768117	2.337286	1.220000	-1.382301
4.777839	2.281582	1.225000	-1.413717
4.785806	2.225600	1.230000	-1.445133
4.792012	2.169395	1.235000	-1.476549
4.796448	2.113023	1.240000	-1.507964
4.799112	2.056539	1.245000	-1.539380
4.800000	2.000000	1.250000	-1.570796
4.799112	1.943461	1.255000	-1.602212
4.796448	1.886977	1.260000	-1.633628
4.792012	1.830605	1.265000	-1.665044
4.785806	1.774400	1.270000	-1.696460
4.777839	1.718418	1.275000	-1.727876
4.768117	1.662714	1.280000	-1.759292
4.756650	1.607342	1.285000	-1.790708
4.743450	1.552358	1.290000	-1.822124
4.728529	1.497816	1.295000	-1.853540
4.711902	1.443769	1.300000	-1.884956
4.693585	1.390272	1.305000	-1.916372
4.673598	1.337376	1.310000	-1.947787
4.651958	1.285134	1.315000	-1.979203
4.628689	1.233597	1.320000	-2.010619
4.603812	1.182817	1.325000	-2.042035
4.577352	1.132843	1.330000	-2.073451
4.549336	1.083725	1.335000	-2.104867
4.519790	1.035512	1.340000	-2.136283
4.488745	0.988250	1.345000	-2.167699
4.456231	0.941987	1.350000	-2.199115
4.422279	0.896767	1.355000	-2.230531
4.386924	0.852637	1.360000	-2.261947
4.350200	0.809639	1.365000	-2.293363
4.312144	0.767815	1.370000	-2.324779
4.272792	0.727208	1.375000	-2.356194
4.232185	0.687856	1.380000	-2.387610
4.190361	0.649800	1.385000	-2.419026
4.147363	0.613076	1.390000	-2.450442
4.103233	0.577721	1.395000	-2.481858
4.058013	0.543769	1.400000	-2.513274
4.011750	0.511255	1.405000	-2.544690
3.964488	0.480210	1.410000	-2.576106
3.916275	0.450664	1.415000	-2.607522
3.867157	0.422648	1.420000	-2.638938
3.817183	0.396188	1.425000	-2.670354
3.766403	0.371311	1.430000	-2.701770
3.714866	0.348042	1.435000	-2.733186
3.662624	0.326402	1.440000	-2.764602
3.609728	0.306415	1.445000	-2.796017
3.556231	0.288098	1.450000	-2.827433
3.502184	0.271471	1.455000	-2.858849
3.447642	0.256550	1.460000	-2.890265
3.392658	0.243350	1.465000	-2.921681
3.337286	0.231883	1.470000	-2.953097
3.281582	0.222161	1.475000	-2.984513
3.225600	0.214194	1.480000	-3.015929
3.169395	0.207988	1.485000	-3.047345
3.113023	0.203552	1.490000	-3.078761
3.056539	0.200888	1.495000	-3.110177
3.000000	0.200000	1.500000	3.141593
2.943461	0.200888	1.505000	3.110177
2.886977	0.203552	1.510000	3.078761
2.830605	0.207988	1.515000	3.047345
2.774400	0.214194	1.520000	3.015929
2.718418	0.222161	1.525000	2.984513
2.662714	0.231883	1.530000	2.953097
2.607342	0.243350	1.535000	2.921681
2.552358	0.256550	1.540000	2.890265
2.497816	0.271471	1.545000	2.858849
2.443769	0.288098	1.550000	2.827433
2.390272	0.306415	1.555000	2.796017
2.337376	0.326402	1.560000	2.764602
2.285134	0.348042	1.565000	2.733186
