path,type,uav,x,y,yaw
1,spiral,1,0.0,0.0,0
1,spiral,2,5.0,0.0,0
1,spiral,3,10.0,0.0,0
1,spiral,4,0.0,5.0,0
1,spiral,5,0.0,10.0,0
2,spiral,1,0.0,0.0,0
2,spiral,2,5.0,0.0,-45
2,spiral,3,10.0,10.0,90
2,spiral,4,0.0,5.0,-90
2,spiral,5,0.0,10.0,45
3,spiral,1,0.0,0.0,0
3,spiral,2,0.0,15.0,180
3,spiral,3,15.0,15.0,0
3,spiral,4,15.0,0.0,180
3,spiral,5,7.5,0.0,0
4,square,1,0.0,0.0,0
4,square,2,0.0,5.0,45
4,square,3,5.0,0.0,90
4,square,4,5.0,5.0,-45
4,square,5,10.0,0.0,-90
5,infinite,1,0.0,0.0,0.0
5,infinite,2,0.0,18.0,0.0
5,infinite,3,18.0,0.0,0.0
5,infinite,4,18.0,18.0,0.0
5,infinite,5,9.0,9.0,0.0
6,infinite,1,0.0,0.0,45
6,infinite,2,0.0,15.0,-45
6,infinite,3,15.0,0.0,-45
6,infinite,4,15.0,15.0,45
6,infinite,5,7.5,7.5,0.0
7,infinite,1,0.0,0.0,0.0
7,infinite,2,0.0,18.0,0.0
7,infinite,3,18.0,0.0,0.0
7,infinite,4,18.0,18.0,0.0
7,infinite,5,9.0,9.0,0.0
8,sin,1,0.0,0.0,0.0
8,sin,2,0.0,10.0,0.0
8,sin,3,10.0,0.0,0.0
8,sin,4,10.0,10.0,0.0
8,sin,5,-10.0,0.0,0.0
9,sin,1,4.0,0.0,0.0
9,sin,2,0.0,4.0,90
9,sin,3,-4.0,0.0,180
9,sin,4,0.0,-4.0,-90
9,spiral,5,0.0,-1.5,0.0
10,square,1,0.0,0.0,0.0
10,square,2,0.0,10.0,-90
10,square,3,10.0,0.0,90
10,square,4,10.0,10.0,180
10,square,5,13.0,13.0,-90
11,spiral,1,0.0,0.0,0
11,spiral,2,10.0,0.0,0
11,spiral,3,20.0,0.0,0
11,spiral,4,5.0,8.0,0
11,spiral,5,15.0,8.0,0
