control	0
yaw_angle	1
cmd_type	0
pose_x	pose_y	pose_z	heading
0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	3.012000	0.000000
-0.111109	-0.111054	3.024000	0.000000
-0.222437	-0.221998	3.036000	0.000000
-0.334203	-0.332720	3.048000	0.000000
-0.446628	-0.443106	3.060000	0.000000
-0.559931	-0.553037	3.072000	0.000000
-0.674331	-0.662387	3.084000	0.000000
-0.790051	-0.771024	3.096000	0.000000
-0.907309	-0.878804	3.108000	0.000000
-1.026325	-0.985573	3.120000	0.000000
-1.147320	-1.091166	3.132000	0.000000
-1.270511	-1.195399	3.144000	0.000000
-1.396115	-1.298074	3.156000	0.000000
-1.524345	-1.398974	3.168000	0.000000
-1.655410	-1.497860	3.180000	0.000000
-1.789515	-1.594469	3.192000	0.000000
-1.926855	-1.688516	3.204000	0.000000
-2.067617	-1.779685	3.216000	0.000000
-2.211974	-1.867632	3.228000	0.000000
-2.360085	-1.951980	3.240000	0.000000
-2.512087	-2.032321	3.252000	0.000000
-2.668095	-2.108209	3.264000	0.000000
-2.828195	-2.179162	3.276000	0.000000
-2.992437	-2.244660	3.288000	0.000000
-3.160829	-2.304145	3.300000	0.000000
-3.333333	-2.357023	3.312000	0.000000
-3.509853	-2.402660	3.324000	0.000000
-3.690227	-2.440391	3.336000	0.000000
-3.874220	-2.469521	3.348000	0.000000
-4.061512	-2.489329	3.360000	0.000000
-4.251691	-2.499081	3.372000	0.000000
-4.444240	-2.498033	3.384000	0.000000
-4.638530	-2.485449	3.396000	0.000000
-4.833812	-2.460611	3.408000	0.000000
-5.029211	-2.422841	3.420000	0.000000
-5.223720	-2.371519	3.432000	0.000000
-5.416201	-2.306106	3.444000	0.000000
-5.605387	-2.226168	3.456000	0.000000
-5.789891	-2.131401	3.468000	0.000000
-5.968218	-2.021662	3.480000	0.000000
-6.138783	-1.896988	3.492000	0.000000
-6.299939	-1.757627	3.504000	0.000000
-6.450006	-1.604051	3.516000	0.000000
-6.587307	-1.436976	3.528000	0.000000
-6.710212	-1.257368	3.540000	0.000000
-6.817183	-1.066442	3.552000	0.000000
-6.906815	-0.865653	3.564000	0.000000
-6.977887	-0.656677	3.576000	0.000000
-7.029400	-0.441380	3.588000	0.000000
-7.060612	-0.221779	3.600000	0.000000
-7.071068	-0.000000	3.612000	0.000000
-7.060612	0.221779	3.624000	0.000000
-7.029400	0.441380	3.636000	0.000000
-6.977887	0.656677	3.648000	0.000000
-6.906815	0.865653	3.660000	0.000000
-6.817183	1.066442	3.672000	0.000000
-6.710212	1.257368	3.684000	0.000000
-6.587307	1.436976	3.696000	0.000000
-6.450006	1.604051	3.708000	0.000000
-6.299939	1.757627	3.720000	0.000000
-6.138783	1.896988	3.732000	0.000000
-5.968218	2.021662	3.744000	0.000000
-5.789891	2.131401	3.756000	0.000000
-5.605387	2.226168	3.768000	0.000000
-5.416201	2.306106	3.780000	0.000000
-5.223720	2.371519	3.792000	0.000000
-5.029211	2.422841	3.804000	0.000000
-4.833812	2.460611	3.816000	0.000000
-4.638530	2.485449	3.828000	0.000000
-4.444240	2.498033	3.840000	0.000000
-4.251691	2.499081	3.852000	0.000000
-4.061512	2.489329	3.864000	0.000000
-3.874220	2.469521	3.876000	0.000000
-3.690227	2.440391	3.888000	0.000000
-3.509853	2.402660	3.900000	0.000000
-3.333333	2.357023	3.912000	0.000000
-3.160829	2.304145	3.924000	0.000000
-2.992437	2.244660	3.936000	0.000000
-2.828195	2.179162	3.948000	0.000000
-2.668095	2.108209	3.960000	0.000000
-2.512087	2.032321	3.972000	0.000000
-2.360085	1.951980	3.984000	0.000000
-2.211974	1.867632	3.996000	0.000000
-2.067617	1.779685	4.008000	0.000000
-1.926855	1.688516	4.020000	0.000000
-1.789515	1.594469	4.032000	0.000000
-1.655410	1.497860	4.044000	0.000000
-1.524345	1.398974	4.056000	0.000000
-1.396115	1.298074	4.068000	0.000000
-1.270511	1.195399	4.080000	0.000000
-1.147320	1.091166	4.092000	0.000000
-1.026325	0.985573	4.104000	0.000000
-0.907309	0.878804	4.116000	0.000000
-0.790051	0.771024	4.128000	0.000000
-0.674331	0.662387	4.140000	0.000000
-0.559931	0.553037	4.152000	0.000000
-0.446628	0.443106	4.164000	0.000000
-0.334203	0.332720	4.176000	0.000000
-0.222437	0.221998	4.188000	0.000000
-0.111109	0.111054	4.200000	0.000000
0.000000	-0.000000	4.212000	0.000000
0.111109	-0.111054	4.224000	0.000000
0.222437	-0.221998	4.236000	0.000000
0.334203	-0.332720	4.248000	0.000000
0.446628	-0.443106	4.260000	0.000000
0.559931	-0.553037	4.272000	0.000000
0.674331	-0.662387	4.284000	0.000000
0.790051	-0.771024	4.296000	0.000000
0.907309	-0.878804	4.308000	0.000000
1.026325	-0.985573	4.320000	0.000000
1.147320	-1.091166	4.332000	0.000000
1.270511	-1.195399	4.344000	0.000000
1.396115	-1.298074	4.356000	0.000000
1.524345	-1.398974	4.368000	0.000000
1.655410	-1.497860	4.380000	0.000000
1.789515	-1.594469	4.392000	0.000000
1.926855	-1.688516	4.404000	0.000000
2.067617	-1.779685	4.416000	0.000000
2.211974	-1.867632	4.428000	0.000000
2.360085	-1.951980	4.440000	0.000000
2.512087	-2.032321	4.452000	0.000000
2.668095	-2.108209	4.464000	0.000000
2.828195	-2.179162	4.476000	0.000000
2.992437	-2.244660	4.488000	0.000000
3.160829	-2.304145	4.500000	0.000000
3.333333	-2.357023	4.512000	0.000000
3.509853	-2.402660	4.524000	0.000000
3.690227	-2.440391	4.536000	0.000000
3.874220	-2.469521	4.548000	0.000000
4.061512	-2.489329	4.560000	0.000000
4.251691	-2.499081	4.572000	0.000000
4.444240	-2.498033	4.584000	0.000000
4.638530	-2.485449	4.596000	0.000000
4.833812	-2.460611	4.608000	0.000000
5.029211	-2.422841	4.620000	0.000000
5.223720	-2.371519	4.632000	0.000000
5.416201	-2.306106	4.644000	0.000000
5.605387	-2.226168	4.656000	0.000000
5.789891	-2.131401	4.668000	0.000000
5.968218	-2.021662	4.680000	0.000000
6.138783	-1.896988	4.692000	0.000000
6.299939	-1.757627	4.704000	0.000000
6.450006	-1.604051	4.716000	0.000000
6.587307	-1.436976	4.728000	0.000000
6.710212	-1.257368	4.740000	0.000000
6.817183	-1.066442	4.752000	0.000000
6.906815	-0.865653	4.764000	0.000000
6.977887	-0.656677	4.776000	0.000000
7.029400	-0.441380	4.788000	0.000000
7.060612	-0.221779	4.800000	0.000000
7.071068	0.000000	4.812000	0.000000
7.060612	0.221779	4.824000	0.000000
7.029400	0.441380	4.836000	0.000000
6.977887	0.656677	4.848000	0.000000
6.906815	0.865653	4.860000	0.000000
6.817183	1.066442	4.872000	0.000000
6.710212	1.257368	4.884000	0.000000
6.587307	1.436976	4.896000	0.000000
6.450006	1.604051	4.908000	0.000000
6.299939	1.757627	4.920000	0.000000
6.138783	1.896988	4.932000	0.000000
5.968218	2.021662	4.944000	0.000000
5.789891	2.131401	4.956000	0.000000
5.605387	2.226168	4.968000	0.000000
5.416201	2.306106	4.980000	0.000000
5.223720	2.371519	4.992000	0.000000
5.029211	2.422841	5.004000	0.000000
4.833812	2.460611	5.016000	0.000000
4.638530	2.485449	5.028000	0.000000
4.444240	2.498033	5.040000	0.000000
4.251691	2.499081	5.052000	0.000000
4.061512	2.489329	5.064000	0.000000
3.874220	2.469521	5.076000	0.000000
3.690227	2.440391	5.088000	0.000000
3.509853	2.402660	5.100000	0.000000
3.333333	2.357023	5.112000	0.000000
3.160829	2.304145	5.124000	0.000000
2.992437	2.244660	5.136000	0.000000
2.828195	2.179162	5.148000	0.000000
2.668095	2.108209	5.160000	0.000000
2.512087	2.032321	5.172000	0.000000
2.360085	1.951980	5.184000	0.000000
2.211974	1.867632	5.196000	0.000000
2.067617	1.779685	5.208000	0.000000
1.926855	1.688516	5.220000	0.000000
1.789515	1.594469	5.232000	0.000000
1.655410	1.497860	5.244000	0.000000
1.524345	1.398974	5.256000	0.000000
1.396115	1.298074	5.268000	0.000000
1.270511	1.195399	5.280000	0.000000
1.147320	1.091166	5.292000	0.000000
1.026325	0.985573	5.304000	0.000000
0.907309	0.878804	5.316000	0.000000
0.790051	0.771024	5.328000	0.000000
0.674331	0.662387	5.340000	0.000000
0.559931	0.553037	5.352000	0.000000
0.446628	0.443106	5.364000	0.000000
0.334203	0.332720	5.376000	0.000000
0.222437	0.221998	5.388000	0.000000
0.111109	0.111054	5.400000	0.000000
0.000000	0.000000	5.412000	0.000000
-0.111109	-0.111054	5.424000	0.000000
-0.222437	-0.221998	5.436000	0.000000
-0.334203	-0.332720	5.448000	0.000000
-0.446628	-0.443106	5.460000	0.000000
-0.559931	-0.553037	5.472000	0.000000
-0.674331	-0.662387	5.484000	0.000000
-0.790051	-0.771024	5.496000	0.000000
-0.907309	-0.878804	5.508000	0.000000
-1.026325	-0.985573	5.520000	0.000000
-1.147320	-1.091166	5.532000	0.000000
-1.270511	-1.195399	5.544000	0.000000
-1.396115	-1.298074	5.556000	0.000000
-1.524345	-1.398974	5.568000	0.000000
-1.655410	-1.497860	5.580000	0.000000
-1.789515	-1.594469	5.592000	0.000000
-1.926855	-1.688516	5.604000	0.000000
-2.067617	-1.779685	5.616000	0.000000
-2.211974	-1.867632	5.628000	0.000000
-2.360085	-1.951980	5.640000	0.000000
-2.512087	-2.032321	5.652000	0.000000
-2.668095	-2.108209	5.664000	0.000000
-2.828195	-2.179162	5.676000	0.000000
-2.992437	-2.244660	5.688000	0.000000
-3.160829	-2.304145	5.700000	0.000000
-3.333333	-2.357023	5.712000	0.000000
-3.509853	-2.402660	5.724000	0.000000
-3.690227	-2.440391	5.736000	0.000000
-3.874220	-2.469521	5.748000	0.000000
-4.061512	-2.489329	5.760000	0.000000
-4.251691	-2.499081	5.772000	0.000000
-4.444240	-2.498033	5.784000	0.000000
-4.638530	-2.485449	5.796000	0.000000
-4.833812	-2.460611	5.808000	0.000000
-5.029211	-2.422841	5.820000	0.000000
-5.223720	-2.371519	5.832000	0.000000
-5.416201	-2.306106	5.844000	0.000000
-5.605387	-2.226168	5.856000	0.000000
-5.789891	-2.131401	5.868000	0.000000
-5.968218	-2.021662	5.880000	0.000000
-6.138783	-1.896988	5.892000	0.000000
-6.299939	-1.757627	5.904000	0.000000
-6.450006	-1.604051	5.916000	0.000000
-6.587307	-1.436976	5.928000	0.000000
-6.710212	-1.257368	5.940000	0.000000
-6.817183	-1.066442	5.952000	0.000000
-6.906815	-0.865653	5.964000	0.000000
-6.977887	-0.656677	5.976000	0.000000
-7.029400	-0.441380	5.988000	0.000000
-7.060612	-0.221779	6.000000	0.000000
-7.071068	-0.000000	6.012000	0.000000
-7.060612	0.221779	6.024000	0.000000
-7.029400	0.441380	6.036000	0.000000
-6.977887	0.656677	6.048000	0.000000
-6.906815	0.865653	6.060000	0.000000
-6.817183	1.066442	6.072000	0.000000
-6.710212	1.257368	6.084000	0.000000
-6.587307	1.436976	6.096000	0.000000
-6.450006	1.604051	6.108000	0.000000
-6.299939	1.757627	6.120000	0.000000
-6.138783	1.896988	6.132000	0.000000
-5.968218	2.021662	6.144000	0.000000
-5.789891	2.131401	6.156000	0.000000
-5.605387	2.226168	6.168000	0.000000
-5.416201	2.306106	6.180000	0.000000
-5.223720	2.371519	6.192000	0.000000
-5.029211	2.422841	6.204000	0.000000
-4.833812	2.460611	6.216000	0.000000
-4.638530	2.485449	6.228000	0.000000
-4.444240	2.498033	6.240000	0.000000
-4.251691	2.499081	6.252000	0.000000
-4.061512	2.489329	6.264000	0.000000
-3.874220	2.469521	6.276000	0.000000
-3.690227	2.440391	6.288000	0.000000
-3.509853	2.402660	6.300000	0.000000
-3.333333	2.357023	6.312000	0.000000
-3.160829	2.304145	6.324000	0.000000
-2.992437	2.244660	6.336000	0.000000
-2.828195	2.179162	6.348000	0.000000
-2.668095	2.108209	6.360000	0.000000
-2.512087	2.032321	6.372000	0.000000
-2.360085	1.951980	6.384000	0.000000
-2.211974	1.867632	6.396000	0.000000
-2.067617	1.779685	6.408000	0.000000
-1.926855	1.688516	6.420000	0.000000
-1.789515	1.594469	6.432000	0.000000
-1.655410	1.497860	6.444000	0.000000
-1.524345	1.398974	6.456000	0.000000
-1.396115	1.298074	6.468000	0.000000
-1.270511	1.195399	6.480000	0.000000
-1.147320	1.091166	6.492000	0.000000
-1.026325	0.985573	6.504000	0.000000
-0.907309	0.878804	6.516000	0.000000
-0.790051	0.771024	6.528000	0.000000
-0.674331	0.662387	6.540000	0.000000
-0.559931	0.553037	6.552000	0.000000
-0.446628	0.443106	6.564000	0.000000
-0.334203	0.332720	6.576000	0.000000
-0.222437	0.221998	6.588000	0.000000
-0.111109	0.111054	6.600000	0.000000
0.000000	-0.000000	6.612000	0.000000
0.111109	-0.111054	6.624000	0.000000
0.222437	-0.221998	6.636000	0.000000
0.334203	-0.332720	6.648000	0.000000
0.446628	-0.443106	6.660000	0.000000
0.559931	-0.553037	6.672000	0.000000
0.674331	-0.662387	6.684000	0.000000
0.790051	-0.771024	6.696000	0.000000
0.907309	-0.878804	6.708000	0.000000
1.026325	-0.985573	6.720000	0.000000
1.147320	-1.091166	6.732000	0.000000
1.270511	-1.195399	6.744000	0.000000
1.396115	-1.298074	6.756000	0.000000
1.524345	-1.398974	6.768000	0.000000
1.655410	-1.497860	6.780000	0.000000
1.789515	-1.594469	6.792000	0.000000
1.926855	-1.688516	6.804000	0.000000
2.067617	-1.779685	6.816000	0.000000
2.211974	-1.867632	6.828000	0.000000
2.360085	-1.951980	6.840000	0.000000
2.512087	-2.032321	6.852000	0.000000
2.668095	-2.108209	6.864000	0.000000
2.828195	-2.179162	6.876000	0.000000
2.992437	-2.244660	6.888000	0.000000
3.160829	-2.304145	6.900000	0.000000
3.333333	-2.357023	6.912000	0.000000
3.509853	-2.402660	6.924000	0.000000
3.690227	-2.440391	6.936000	0.000000
3.874220	-2.469521	6.948000	0.000000
4.061512	-2.489329	6.960000	0.000000
4.251691	-2.499081	6.972000	0.000000
4.444240	-2.498033	6.984000	0.000000
4.638530	-2.485449	6.996000	0.000000
4.833812	-2.460611	7.008000	0.000000
5.029211	-2.422841	7.020000	0.000000
5.223720	-2.371519	7.032000	0.000000
5.416201	-2.306106	7.044000	0.000000
5.605387	-2.226168	7.056000	0.000000
5.789891	-2.131401	7.068000	0.000000
5.968218	-2.021662	7.080000	0.000000
6.138783	-1.896988	7.092000	0.000000
6.299939	-1.757627	7.104000	0.000000
6.450006	-1.604051	7.116000	0.000000
6.587307	-1.436976	7.128000	0.000000
6.710212	-1.257368	7.140000	0.000000
6.817183	-1.066442	7.152000	0.000000
6.906815	-0.865653	7.164000	0.000000
6.977887	-0.656677	7.176000	0.000000
7.029400	-0.441380	7.188000	0.000000
7.060612	-0.221779	7.200000	0.000000
7.071068	0.000000	7.212000	0.000000
7.060612	0.221779	7.224000	0.000000
7.029400	0.441380	7.236000	0.000000
6.977887	0.656677	7.248000	0.000000
6.906815	0.865653	7.260000	0.000000
6.817183	1.066442	7.272000	0.000000
6.710212	1.257368	7.284000	0.000000
6.587307	1.436976	7.296000	0.000000
6.450006	1.604051	7.308000	0.000000
6.299939	1.757627	7.320000	0.000000
6.138783	1.896988	7.332000	0.000000
5.968218	2.021662	7.344000	0.000000
5.789891	2.131401	7.356000	0.000000
5.605387	2.226168	7.368000	0.000000
5.416201	2.306106	7.380000	0.000000
5.223720	2.371519	7.392000	0.000000
5.029211	2.422841	7.404000	0.000000
4.833812	2.460611	7.416000	0.000000
4.638530	2.485449	7.428000	0.000000
4.444240	2.498033	7.440000	0.000000
4.251691	2.499081	7.452000	0.000000
4.061512	2.489329	7.464000	0.000000
3.874220	2.469521	7.476000	0.000000
3.690227	2.440391	7.488000	0.000000
3.509853	2.402660	7.500000	0.000000
3.333333	2.357023	7.512000	0.000000
3.160829	2.304145	7.524000	0.000000
2.992437	2.244660	7.536000	0.000000
2.828195	2.179162	7.548000	0.000000
2.668095	2.108209	7.560000	0.000000
2.512087	2.032321	7.572000	0.000000
2.360085	1.951980	7.584000	0.000000
